word,value,count
service,79,1
severe,90,1
shadows,79,1
shameless,101,1
shape,40,1
shattered,104,1
shed,54,1
sheets,68,1
shoot,47,1
showed,72,1
shrine,69,1
shrinking,108,1
shrouds,105,1
shunned,127,1
sighing,64,1
Sight,38,1
signs,65,1
Silence,68,1
Sin,39,1
Sing,50,1
single,64,1
sister,66,1
six,21,1
Sixty-one,95,1
skew-wise,89,1
skies,60,1
slave,56,1
smooth,68,1
soft,46,1
soften,83,1
soldiers,91,1
solve,61,1
son,49,1
song,60,1
sorroweth,96,1
souls,66,1
space-marks,111,1
spangles,88,1
spare,51,1
sparks,70,1
spears,66,1
spectre,70,1
Spelling,69,1
sphere,62,1
spices,49,1
splendrous,144,1
spring,68,1
squared,111,1
stain,53,1
stamp,54,1
standeth,101,1
stands,91,1
star-lit,53,1
star-splendour,172,1
starlight,67,1
starry,75,1
state,51,1
stature,90,1
steel,51,1
stones,86,1
stooping,83,1
store,61,1
strange,91,1
strangely,110,1
streets,88,1
Strive,73,1
stronger,110,1
study,90,1
subtlety,110,1
suddenly,142,1
sufferer,118,1
Sunset,101,1
support,81,1
surpass,93,1
swear,55,1
sweat,50,1
sweet-smelling,144,1
sweeter,85,1
sweetnesses,153,1
swell,38,1
swords,85,1
symbols,100,1
T,9,1
Ta-Nech,56,1
Tahuti,51,1
taken,68,1
talk,32,1
task,46,1
tenderness,163,1
terrible,84,1
test,46,1
Theban,74,1
Thelemites,97,1
thereon,86,1
thereupon,115,1
third,49,1
Those,50,1
threefold,98,1
Thrill,28,1
throughout,119,1
tomb,60,1
tongues,107,1
too,29,1
top,23,1
torment,100,1
torn,57,1
torture,94,1
toy,37,1
traitors,76,1
trance,67,1
translated,118,1
trees,64,1
tremble,91,1
tribulation,117,1
tried,59,1
trodden,116,1
trouble,92,1
true,61,1
truly,67,1
truth,60,1
try,41,1
Tum,55,1
twin,41,1
ultimate,83,1
unassuaged,161,1
unattacked,132,1
undergo,120,1
understandeth,200,1
undesired,150,1
unfit,70,1
unimaginable,149,1
