word,value,count
intense,98,1
interior,84,1
intoxicate,78,1
Inverted,118,1
invoking,108,1
iron,48,1
irritate,64,1
Isle,29,1
issue,68,1
Ithuriel,65,1
itself,50,1
ivory,64,1
jets,44,1
kindled,101,1
King’s,67,1
knave,81,1
kneeling,103,1
knew,62,1
knewest,99,1
knows,74,1
lake,36,1
lakes,51,1
lapis,25,1
last,30,1
lastadza,82,1
laughed,81,1
laughing,80,1
laughs,60,1
Law,14,1
Lazily,44,1
lazuli,51,1
leading,77,1
leads,57,1
leaning,78,1
leaps,38,1
leering,76,1
left,35,1
lesser,71,1
licked,56,1
lies,29,1
lifted,58,1
lights,39,1
liquid,65,1
litanies,67,1
Locusta,67,1
look,38,1
looked,74,1
loose,49,1
loosen,73,1
lords,63,1
lost,35,1
Lotus,60,1
loved,69,1
lovely,65,1
lovers,75,1
loves,61,1
lowland,72,1
lowlands,87,1
lustrous,114,1
Macedonia,103,1
magic,39,1
majesty,88,1
makes,71,1
malachite,59,1
male,40,1
man’s,65,1
mandrake,122,1
mane,63,1
mantles,88,1
marán,64,1
maritza,73,1
Marsyas,93,1
marvel,76,1
mate,48,1
meal,40,1
meats,63,1
meditation,114,1
melt,44,1
menacing,100,1
Messalina,99,1
Mexico,52,1
midnight,91,1
milk,39,1
Mitre,57,1
mix,27,1
moly,50,1
moment,98,1
monstrous,143,1
moonlight,89,1
moss,61,1
mother-of-emerald,182,1
multitude,126,1
mutilated,106,1
myriads,96,1
myrrh,70,1
myrtle,76,1
mystic,65,1
name,63,1
Nature,90,1
nay,47,1
Neapolitan,95,1
near,56,1
nectar,67,1
nets,61,1
niddering,132,1
nights,62,1
Nile,38,1
North,60,1
Nothingness,148,1
NOX,40,1
Nubian,98,1
number,117,1
nymph,70,1
oak,32,1
obol,41,1
obscure,99,1
offer,61,1
Ohé,26,1
ointment,110,1
Olalám,38,1
Olympas,74,1
onrush,91,1
onyx,58,1
ooze,52,1
opal,20,1
openly,70,1
Ophir,31,1
orgy,53,1
osprey,74,1
Otherworld,105,1
Ours,64,1
ovals,53,1
Overworld,115,1
own,42,1
oyster,79,1
pack,28,1
pains,48,1
pale,23,1
pallid,34,1
parallel,44,1
parted,68,1
pass,39,1
passes,67,1
passive,74,1
patiently,83,1
pelican,49,1
pendulum,136,1
perceived,104,1
perch,36,1
performed,124,1
perfumes,117,1
pernicious,107,1
perpendicular,142,1
pervading,116,1
pet,26,1
petty,53,1
phœnix,37,1
pierced,69,1
pillar,25,1
pillars,40,1
pine-clad,72,1
pines,56,1
pinnacle,73,1
plain,34,1
play,28,1
plaything,75,1
pleasant,76,1
pluck,49,1
plum,51,1
poets,51,1
poison,63,1
porch,33,1
possibilities,102,1
potent,69,1
pours,68,1
powder,72,1
powers,64,1
prayer,68,1
precious,83,1
precipice,52,1
Pregnant,104,1
Preparer,81,1
presiding,104,1
prevail,59,1
Priapus,67,1
priestess,98,1
priests,70,1
primal,45,1
prince,57,1
princely,76,1
prize,50,1
profound,122,1
projection,93,1
Prologue,88,1
prophet,57,1
provided,109,1
punishment,138,1
puppets,74,1
pure,56,1
quench,83,1
quickly,79,1
Ra,19,1
rabbit,68,1
race,34,1
raced,57,1
radiatest,93,1
radiating,91,1
raised,70,1
ran,43,1
ransom,89,1
rare,46,1
rather,58,1
rave,54,1
ray,37,1
reach,37,1
reaching,72,1
reading,90,1
rear,46,1
reason,81,1
recesses,100,1
reek,57,1
reels,56,1
reinest,88,1
Resolve,88,1
Revealer,95,1
rice,29,1
ringed,85,1
ripe,31,1
rises,57,1
rising,64,1
ritual,54,1
robe,57,1
rod,47,1
rood,57,1
rose,52,1
rosy,57,1
royal,48,1
ruby,77,1
ruddy,103,1
run,63,1
runs,78,1
russet,91,1
sack,39,1
sacrament,108,1
Sacraments,123,1
Sacrifice,63,1
sacrificed,86,1
sad,43,1
salt,30,1
same,54,1
sands,82,1
sank,61,1
sardonyx,115,1
sat,29,1
satyr,61,1
save,55,1
savour,91,1
Saxon,60,1
scarce,51,1
scattered,103,1
scimitar,66,1
score,54,1
scorpion,79,1
scourging,112,1
scream,70,1
scudding,123,1
seal,34,1
seas,48,1
Secretest,103,1
Secretly,85,1
secrets,81,1
seductive,122,1
seized,83,1
seizeth,72,1
self-knowledge,161,1
sense,80,1
sentences,128,1
sepulchre,90,1
serpent,92,1
serve,77,1
setting,81,1
sevenfold,133,1
shaken,77,1
shakes,68,1
shaped,63,1
sheep,48,1
shell,33,1
shelterest,105,1
shone,65,1
shook,55,1
shoot,47,1
shrill,34,1
sickens,86,1
sides,66,1
sighs,44,1
sigil,27,1
signs,65,1
silent,62,1
silly,35,1
singing,85,1
singing-bird,142,1
single,64,1
sinister,90,1
sit,24,1
sitteth,58,1
sitting,68,1
sixth,33,1
skilled,70,1
skin,56,1
slay,39,1
slays,54,1
sleeping,81,1
slimy,55,1
slopes,58,1
slow,34,1
smaller,70,1
smile,50,1
Smiling,72,1
smitten,91,1
smoke,76,1
smoke-ring,125,1
smokes,91,1
smoothness,135,1
smote,68,1
smother,85,1
snake,74,1
snow,57,1
snowfall,76,1
softness,113,1
solemnity,111,1
Solitude,96,1
some,59,1
soon,59,1
sooth,47,1
sorely,71,1
sorrow,71,1
sorrowful,109,1
sorry,71,1
sought,73,1
spangled,96,1
spare,51,1
sparks,70,1
Sparrow-God,114,1
spearmen,109,1
speck,51,1
specks,66,1
Spice,34,1
Spices,49,1
spinning,102,1
Spirit,42,1
split,29,1
splitting,73,1
spout,63,1
spread,74,1
spring,68,1
springs,83,1
stain,53,1
standing,111,1
star-dust,115,1
star-fire,82,1
starry,75,1
steady,83,1
steal,43,1
stealth,55,1
stealthy,73,1
steel,51,1
stink,65,1
stinking,100,1
stinted,93,1
stirred,88,1
stones,86,1
stream,77,1
strength,98,1
stretched,101,1
stridency,118,1
striding,96,1
strife,63,1
strike,68,1
stroke,78,1
stronger,110,1
subtlety,110,1
suck,59,1
sudden,123,1
suffices,94,1
sugar,70,1
summoned,152,1
sunlight,88,1
sunny,106,1
sunray,101,1
Supernal,101,1
sustainest,130,1
swallow,48,1
swans,67,1
swathings,90,1
sweep,53,1
swept,49,1
swift,44,1
swim,44,1
swing,58,1
symbols,100,1
systems,106,1
takest,68,1
tale,28,1
tall,16,1
tasted,74,1
teeth,47,1
tempered,110,1
ten,46,1
Terraces,85,1
terrible,84,1
Thebai,50,1
thence,64,1
thief,37,1
thigh,26,1
thorns,75,1
those,50,1
though,61,1
thoughts,85,1
throes,64,1
thrown,68,1
thrush,69,1
tiers,51,1
tiger’s,62,1
tinges,72,1
Titan,47,1
toads,62,1
toe-tips,60,1
told,43,1
torment,100,1
tortoise,80,1
toy,37,1
trampled,90,1
travel,64,1
Travelling,100,1
treasurable,134,1
trellis-work,102,1
trickling,78,1
trident,92,1
triumphant,114,1
troops,62,1
trout,67,1
trumpeting,130,1
tuned,94,1
turned,108,1
Tutúlu,69,1
twenty-two,108,1
Twice,32,1
Typhon,68,1
Tyrian,70,1
ultimate,83,1
Unborn,117,1
understand,175,1
unfolded,131,1
unhallowed,113,1
Union,83,1
unique,103,1
unknown,132,1
unless,93,1
unlike,80,1
unripe,80,1
unspeakable,142,1
unstable,112,1
unthinkably,146,1
until,59,1
upward,79,1
Uranus,108,1
use,53,1
uttermost,125,1
value,66,1
vast,51,1
vault,62,1
veil,36,1
Verily,68,1
vertically,85,1
vessels,94,1
vestments,141,1
vibration,104,1
vilely,55,1
vine-clad,90,1
vines,74,1
vineyards,134,1
vintage,84,1
violent,79,1
violet-blossoms,162,1
Virgin,71,1
visible,71,1
visibly,76,1
Vitriol,56,1
VVVVV,110,1
Wail,14,1
walk,31,1
Wand,60,1
wander,87,1
warmth,60,1
weak,43,1
wear,40,1
West,45,1
wheeled,74,1
where,51,1
whereof,73,1
whispered,93,1
whitens,72,1
whiter,47,1
whose,49,1
wicked,63,1
wild,32,1
wildly,51,1
wind,55,1
wine-press,106,1
wine-skin,101,1
wines,60,1
Wingèd,79,1
wisdom,77,1
withholdest,94,1
woe,31,1
wolves,69,1
wonder,92,1
woo,28,1
wood-gods,110,1
wood-nymphs,136,1
worn,56,1
Worshipful,92,1
worth,44,1
wound,90,1
wounded,126,1
wrack,46,1
Wrath,39,1
writing,66,1
year,50,1
yews,54,1
yield,55,1
yon,52,1
