word,value
exceeded,106
exceeding,105
exceedingly,124
excellent,82
excess,64
excite,43
exempt,66
exhaust,76
exhausted,112
existence,95
Existences,110
existeth,68
exorcise,73
Exorcist,69
expand,75
expanded,111
expandeth,100
Expansion,101
expect,47
expected,83
expecting,82
expiration,85
expire,50
explore,61
exposure,100
expound,105
extended,124
extending,123
extinguished,142
extol,39
extreme,89
eye,44
eyebrows,111
Eyeless,88
eyelids,83
eyepits,72
eyes,59
eyesight,82
face,32
factor,52
fade,53
faded,76
fades,68
fading,75
faery,62
fail,18
failure,70
faint,50
fair,31
Fairy,49
faith,29
fall,19
fallen,56
fallest,56
falleth,44
falling,54
falls,34
false,46
Falsehood,92
Falútli,28
famine,75
fang,52
fangs,67
fantastic,81
Fantasy,88
far,31
Far-off,65
Farther,70
fashion,69
fashioned,105
fashioning,104
fast,41
Fasten,78
fastened,114
faster,68
fasting,76
Fates,54
father,56
father’s,71
fathers,71
faun,66
favour,88
favoured,124
favours,103
fawn,49
fear,44
feareth,69
fears,59
feast,54
feasts,69
feats,54
fecundity,126
fee,38
feel,39
feet,47
fell,27
fellows,60
felt,35
feminine,107
fervour,110
fever,74
few,33
FIAT,26
fields,64
fierce,54
fierceness,121
fiery,57
fifth,36
fifty,51
fight,35
fightest,72
fighting,70
figure,75
fill,14
filled,50
filling,49
filth,25
filthy,43
find,59
fine,49
finest,73
finger-tips,102
fingers,89
fins,51
Fire,39
fires,54
firm,47
firmament,119
firmly,66
first,50
fish,30
fish-hook,70
fit,21
fitted,66
fitting,65
five,47
fix,18
flag,29
flake,48
flame,52
flamed,75
flames,67
flameth,64
Flaming,74
flap,22
flapping,61
flasheth,61
flats,42
fled,49
flee,39
flesh,44
flew,34
flieth,38
flights,51
fling,48
float,37
floated,73
floating,72
flock,42
flood,56
floodeth,81
floor,47
flow,31
flower,58
flower-flame,110
flowers,73
floweth,56
flung,73
flush,56
flute,60
fly,31
flying,66
foam,48
foamless,92
fold,46
folk,40
follies,52
Follow,42
followed,78
following,77
folly,42
fondled,106
food,55
foods,70
fool,33
foolish,51
fools,48
foot,41
for,36
forbid,79
forbidden,139
force,51
forcefulness,156
Forces,66
forcing,73
forest,73
forests,88
forge,60
forgetfulness,174
forgot,66
forgotten,112
form,57
formidable,119
formless,101
forms,72
formulate,110
formulated,133
fornications,125
forsaken,110
forth,48
forth-speaker,129
Forties,73
fortified,93
Fortify,75
fortress,102
forty,63
forward,86
fought,70
foul,48
found,94
foundation,142
foundations,157
fount,80
fountains,124
four,61
fourfold,107
foursquare,149
fourth,73
fox,28
free,52
freedom,106
frenzy,100
fresh,57
fret,48
friends,101
fro,36
frogs,62
from,57
froth,48
fruit,60
fu,37
fulfil,51
fulfilled,88
full,39
fullness,106
fulminant,121
fume,71
fumes,86
fur,51
furnace,95
Further,90
fury,69
Future,98
G,11
Ga,16
gain,40
gained,76
galaxies,56
galaxy,46
gale,30
galloping,67
gallows,51
garden,90
Gargantuan,133
garlanded,119
garlands,98
garment,97
garments,112
gash,34
gat,25
gate,38
Gates,53
gather,55
gathered,91
gathereth,80
gaunt,74
gave,51
gazed,71
gazelle,63
Ge,24
gemmèd,102
gems,60
generation,123
generations,138
generous,125
Genitor-Genetrix,171
genius,88
gentleness,138
get,33
ghastly,62
Ghebers,89
giant,49
giants,64
gifts,47
gilded,71
gird,48
girders,90
girdle,62
girdled,85
girl,26
girls,41
girt,34
give,46
given,70
giver,60
gives,61
givest,70
giveth,58
Glacier,46
glaciers,61
glad,40
gladdens,115
Gladiator,78
gladness,107
glamour,87
glances,71
glare,44
glass,47
gleam,51
gleams,66
glee,38
glistening,108
glitter,57
glittering,92
globe,55
globèd,78
globes,70
glories,64
glorify,66
glorious,86
glory,54
glow,30
glowing,65
gnarl’d,78
gnarled,91
gnawed,84
go,21
goal,27
Goat,35
goat-hoofed,106
goat’s,50
God,44
god-like,75
Goddess,110
Gods,59
Goes,49
goeth,46
gold,45
golden,82
gone,58
good,54
goodly,73
goods,69
goring,70
gossamer,104
govern,94
Graal,36
grace,45
Grade,66
Grades,81
grains,69
grandsire,119
granted,99
grape,47
grapes,62
grass,60
grave,65
graven,89
graver,79
gray,48
great,52
greater,79
greatly,71
Greek,68
green,75
green-clad,106
greet,60
grew,46
grey,56
grip,29
gropeth,64
gross,65
group,64
groves,85
grow,43
grows,58
gu,36
guard,78
guarded,114
Guardeth,103
guardians,122
guests,88
guide,72
guise,64
gulp,41
gums,72
gushes,82
gynander,132
gyrat,57
Ha,8
habit,37
habitation,85
had,31
Hades,59
Hadit,40
hail,9
hair,22
half,21
hand,55
hands,70
hang,43
hangman,93
hangs,58
haply,31
happiness,83
happy,34
hard,45
hardens,97
harder,72
hardly,64
harlot,42
harm,43
harmonized,132
Harmony,95
harp,26
harper,53
harpies,54
Harpocrates,94
has,23
hast,32
hasten,69
hate,30
hatest,54
hath,20
Hathor,44
haunt,66
have,43
haven,67
having,65
hawk,33
Hawk-headed,113
Hawk’s,48
haze,40
he,16
head,44
headdress,124
heads,59
heal,22
healed,58
health,34
heap,25
hear,35
heard,58
hearing,70
heart,44
hearts,59
heat,30
heath,33
Heathen,70
Heaven,80
heavenly,99
heavens,95
heavily,62
Heed,52
heedeth,77
height,39
heights,54
Hell,18
Hell’s,33
hells,33
Help,21
helper,48
her,30
herbs,65
Hercules,86
Here,43
hereafter,96
Hermes,79
Hermit,60
hermits,75
herself,71
Heru-pa-kraath,117
Heru-ra-ha,82
hewn,48
hidden,86
hide,39
hideous,89
hideth,51
hiding,61
Hierophant,85
hierophant’s,100
Hierophantic,87
high,17
higher,44
highest,54
hillock,34
hills,20
him,24
himself,65
Hindu,75
his,18
hit,12
hither,42
Ho,13
hoarse,60
hold,37
holds,52
hole,27
holier,41
Holies,42
Holiest,51
holiness,81
hollow,33
holy,32
homage,63
home,47
homeward,97
honey,68
honeycomb,121
honour,86
hood,46
hooded,82
hoofs,50
hook,40
Hoor,37
Hoor-pa-kraat,96
Hoor-paar-kraat,115
Hoor-Ra,56
hope,30
horn,51
horned,87
horns,66
horror,65
horse,55
horsemen,113
Horses,70
Horus,67
host,37
hosts,52
hound,85
hour,52
house,66
how,21
howl,22
Hrumachis,88
hum,49
human,78
humble,83
humming-bird,162
hundred,125
hunger,90
hungrily,96
hunt,61
hunted,97
huntress,118
hurt,51
hurting,86
Hūt,12
hymn,66
hyperbolic,85
I,0
Iacchus,52
IAO,15
Ibis,35
Ibis-headed,115
ice,15
ice-world,71
icy,20
Identity,96
idleness,104
if,12
ignited,80
ignorance,103
IIIOOShBTh-IO-IIIIAMAMThIBI-II,164
ilex,20
ill,2
ill-ordered,112
illumine,85
illusion,76
Image,50
images,65
imagination,109
Imál,22
immediate,105
immediately,124
immortal,81
immortality,108
impatience,91
impenetrable,137
imperfect,88
imperfection,122
Imperial,58
impossible,99
Impressions,131
imps,40
impurity,91
In,24
inane,66
incantations,127
Incarnation,117
incense,91
inception,86
incest,63
incestuous,138
increaseth,98
indeed,96
Indian,76
indicible,83
indite,69
indivisible,118
Indus,87
inebriate,98
ineffable,100
inevitably,112
infallible,77
infamy,80
infernal,93
infinite,82
infinitesimal,124
infinity,87
inflict,48
inform,81
informeth,106
informing,116
inhabit,61
inheritance,107
inhuman,102
initiate,60
initiating,82
Initiation,81
Initiator,71
ink,41
inkhorn,92
inmost,79
inn-keeper,122
innermost,130
innocence,112
insane,81
inscribe,88
insight,62
inspiration,105
inspire,70
inspired,93
inspireth,82
instantly,105
instinct,83
instruct,98
instrument,154
intellect,72
intelligence,111
intelligible,93
intense,98
interior,84
interplay,88
Interpretation,148
interpreted,136
intimate,81
into,43
intolerable,110
intoxicate,78
intoxication,99
Inverted,118
inviolate,84
Invisible,95
invoke,86
invoked,109
invoking,108
Io,10
Iod,33
Ipsissimus,110
iron,48
irritate,64
is,15
Isa,20
Isis,30
island,68
Isle,29
issue,68
it,9
Italy,33
Ithuriel,65
its,24
itself,50
ivory,64
jackals,52
jasmine,85
jasper,58
Jesus,75
jet,29
jets,44
jetteth,63
Jew,28
jewel,42
jewelled,79
jewels,57
Jews,43
jocund,91
joined,77
journey,111
journeyed,147
joy,35
joyous,85
joys,50
judge,79
judgments,148
just,56
K,17
Ka,22
Kaaba,52
keen,67
keep,47
kept,43
key,48
keyword,103
Khabs,60
Khem,54
Kheph-Ra,59
Khephra,59
Khu,45
Khuit,54
Khut,54
Kiblah,46
Kill,19
kin,41
kindle,78
kindled,101
king,52
King’s,67
kingdom,106
kingdoms,121
kings,67
kinsfolk,96
kiss,47
kisses,75
kissing,82
knave,81
kneeling,103
knees,82
knew,62
knewest,99
know,59
knower,86
knowest,96
knoweth,84
knowing,94
Knowledge,120
known,83
knows,74
Kohl,31
Kūt,26
L,1
la,6
laborious,100
Lady,47
laid,29
lake,36
lakes,51
lambent,93
lamp,31
land,53
landmarks,125
language,95
languidly,108
languishes,112
languor,90
lap,10
lapis,25
lapis-lazuli,76
large,44
lashing,59
last,30
lastadza,82
latai,20
latrai,34
laugh,45
laughed,81
laughing,80
laughs,60
laughter,81
laughterful,119
law,14
lawful,52
lay,24
laying,59
Lazily,44
lazuli,51
Le,14
lead,42
leading,77
leads,57
leaf,31
leaning,78
leap,23
leaping,58
leaps,38
learn,57
leash,37
least,43
leave,54
leavings,91
leering,76
left,35
Left-hand,90
length,61
lengthening,133
less,44
lesser,71
lest,38
let,23
letter,59
letters,74
lewd,45
liars,35
libation,69
Liber,48
licked,56
licking,55
licks,35
lie,14
lies,29
Life,26
lift,22
lifted,58
light,24
light-transcending,188
Lighten,61
lightening,96
lightning,83
lights,39
like,31
likened,91
likest,55
Likewise,67
Lilith,14
limbs,57
Liminis,61
limitless,75
line,38
Linea,43
Lingam,62
link,42
linked,78
Lion,35
lion-roar,78
lips,20
liquid,65
liquor,66
Listen,62
listened,98
litanies,67
lithe,26
Little,33
Live,36
lived,59
lively,55
lives,51
living,58
lo,11
loathing,63
loathsome,87
locked,66
locks,45
Locusta,67
lofty,50
loneliness,116
lonely,67
long,46
longer,73
longing,81
Look,38
looked,74
looketh,63
loose,49
loosed,72
loosen,73
loosing,71
Lord,48
lords,63
lose,39
lost,35
Lotus,60
loud,59
love,46
love-chant,89
love-sick,80
love-song,106
love’s,61
loved,69
lovelier,74
lovely,65
Lover,60
lovers,75
loves,61
low,19
lower,46
lowest,56
lowland,72
lowlands,87
lu,26
lucid,51
Lurk,57
luscious,93
lust,50
lusted,86
lustral,70
lustrous,114
lute,48
lutes,63
lying,54
lyre,46
M,21
MAAT,40
Macedonia,103
mad,49
made,62
madness,116
magic,39
magical,45
Magician,68
Magister,88
Magistry,93
magnificence,127
magnificent,121
magnitude,131
Magus,77
maiden,86
maidens,101
Maim,47
majestical,78
majesty,88
make,56
Maker,70
makes,71
makest,80
making,78
malachite,59
malae,45
malai,32
male,40
man,50
man’s,65
mandrake,122
mane,63
manifest,99
manifestation,147
manifested,135
manifold,96
manliness,118
mantles,88
mantras,93
Many,68
manyhood,114
marán,64
maratza,78
marble,74
maritza,73
market-place,104
marketplace,104
markets,94
marrow,72
Marsyas,93
marvel,76
marvellous,127
Mary,58
mask,58
masked,94
masses,84
Master,77
mastered,113
mastereth,102
masters,92
mate,48
Mati,35
matter,71
matters,86
may,44
mayest,81
me,34
meal,40
meanest,100
meaneth,88
meaning,98
means,78
meats,63
mediate,84
meditated,116
meditation,114
meet,56
meetest,93
meetings,106
melai,40
melancholy,98
melt,44
melted,80
members,117
memory,97
men,58
men’s,73
menacing,100
mend,81
Mentu,92
merchant,91
merchants,106
merciless,94
Mercury,107
mercy,68
mere,61
Meru,73
Messalina,99
messenger,139
metal,49
method,79
Mexico,52
midden,104
Middle,81
midmost,99
midnight,91
midst,68
might,44
Mightier,71
mighty,62
mighty-sweeping,150
milk,39
milky,57
million,57
millions,72
Millions-of-Years,159
mind,68
mine,58
mingle,70
mingled,93
minister,96
minute,92
minutest,116
miracle,56
miraculous,118
mire,48
mischievous,126
misery,81
miss,51
mistake,80
mistress,102
mitigated,91
Mitre,57
Mitylene,99
mix,27
moai,36
mockers,92
mockery,95
modest,91
Mohammed,117
molten,78
moly,50
moment,98
Money,86
Mongol,77
monkey,103
monstrous,143
monthly,86
moon,65
moonlight,89
moons,80
more,58
Moreover,117
morning,104
moss,61
most,55
Mother,70
mother-of-emerald,182
mother-of-pearl,129
mothers,85
Motion,74
Mount,89
mountain,118
mountains,133
mounted,125
mounteth,114
mouth,68
mouthed,104
mouths,83
move,66
Mu,46
much,51
multiply,79
multitude,126
muscles,92
music,63
musk,78
must,70
mutilated,106
my,39
myriad,81
myriads,96
myrrh,70
myrtle,76
myself,80
Mysteries,118
mystery,108
mystic,65
mystical,71
naked,82
nakedness,149
name,63
nameless,107
naming,85
narcissus,115
nations,87
naturally,102
nature,90
naught,77
navel,65
nay,47
Neapolitan,95
near,56
neck,56
nectar,67
need,73
negation,96
Neither,76
nemyss,106
neophyte,94
Nerodha-Samapatti,165
nested,97
nets,61
never,86
never-ending,181
Nevertheless,155
New,45
Next,52
Ni,24
Nia,29
niddering,132
nigh,38
Night,47
night-blue,106
night-sky,97
night-stars,105
nightly,66
nights,62
Nile,38
Nile-God,82
nine,61
ninety,88
nipples,61
no,34
No-Thing,81
No-Thing-Tree,130
noise,62
none,71
nonsense,138
nor,48
North,60
nostrils,88
not,43
not-to-be-beheld,168
note,56
nothing,81
Nothingness,148
nought,82
Now,42
nowhere,85
NOX,40
Nu,49
Nubian,98
Nuit,58
number,117
numbers,132
nuns,88
Nūt,33
nymph,70
O,10
OAI,15
ŌĀĪ,15
oak,32
oaks,47
Oath,27
